IMG Taxon id,GOLD biome1,GOLD biome2,High quality reads sampled (up to 500K),Mapped to GEM catalogue,Mapped to NCBI RefSeq,Mapped to either,Nonpareil kmer diversity
3300025832,Aquatic,Marine,465000,172131,42388,180506,20.4753394009101
3300025682,Engineered,Wastewater,482941,303482,15750,305126,20.4725351209385
3300026257,Aquatic,Marine,469930,89414,8769,93469,20.4705279925953
3300027057,Aquatic,Marine,223935,13889,280,14036,20.4613893239376
3300025863,Aquatic,Marine,360570,161401,70349,178869,20.459708683861
3300006902,Aquatic,Marine,471111,101753,7608,104945,20.4575631023603
3300009978,Host-associated,Plants,471788,10432,22155,26918,20.4573230702468
3300027897,Aquatic,Freshwater,375959,8262,746,8593,20.4539906610463
3300019759,Aquatic,Freshwater,480251,48030,28301,71633,20.446851379244
3300025553,Terrestrial,Soil,268896,65791,1516,66460,20.4446784531456
3300006226,Host-associated,Arthropoda,442975,468,641,959,20.4426156681708
3300027700,Aquatic,Marine,460258,181482,11374,185249,20.4422194071355
3300025426,Aquatic,Freshwater,465221,77040,5483,80422,20.4396191884805
3300014492,Terrestrial,Soil,479344,13352,899,13813,20.4375362782972
3300017560,Terrestrial,Soil,483585,93563,105820,155816,20.4302108895351
3300012682,Aquatic,Freshwater,469717,2595,1379,3384,20.429258849898
3300026085,Aquatic,Marine,472721,63336,74412,98426,20.4274382953294
3300002509,Host-associated,Arthropoda,431027,196,794,851,20.4270018071882
3300007294,Host-associated,Human,215381,144108,157590,167165,20.4096168412389
3300002450,Host-associated,Arthropoda,406080,42719,506,43071,20.4068724936957
3300017971,Aquatic,Non-marine Saline and Alkaline,454803,25328,742,25760,20.4065208481282
3300013005,Aquatic,Freshwater,457744,84080,8964,88829,20.402145985163
3300021504,Aquatic,Marine,464387,103926,746,104352,20.3985663730391
3300027709,Aquatic,Marine,449084,118196,3563,119302,20.3980697436117
3300023179,Aquatic,Freshwater,457467,106490,14578,107791,20.3977459633573
3300025865,Terrestrial,Soil,382470,83052,8370,87933,20.3969207946453
3300014656,Aquatic,Freshwater,476669,10614,1778,12055,20.3920894644554
3300027838,Aquatic,Marine,451156,117527,3758,118885,20.3886986062526
3300025712,Aquatic,Marine,472848,138726,51669,154965,20.3830743313624
3300025550,Terrestrial,Soil,425132,15134,5989,20733,20.3692969130524
3300026092,Aquatic,Marine,470945,126789,10650,130828,20.3687750324398
3300006050,Aquatic,Sediment,448490,7246,2116,8693,20.3679037278828
3300002501,Host-associated,Arthropoda,426897,1559,1518,2779,20.366143609313
