uid,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release
36970907-ba6d-4448-b924-101f68e422a9,MLBS,2018-10-09,2018-10-09,MLBS-20181009-BREF1,MLBS-20181009-BREF1-A,B00000026432,MLBS-20181009-BREF1-B,B00000026421,MLBS-20181009-BREF1-C,B00000026438,,,20211221T203415Z,RELEASE-2022
87c79f45-e9c5-4aac-ad50-032441e3aac6,MLBS,2018-10-10,2018-10-10,MLBS-20181010-BREF1,MLBS-20181010-BREF1-A,B00000026400,MLBS-20181010-BREF1-B,B00000026401,MLBS-20181010-BREF1-C,B00000026399,,,20211221T203415Z,RELEASE-2022
4a98a0d8-bb7c-462b-93a1-0afecc4b0c03,MLBS,2018-10-29,2018-10-29,MLBS-20181029-BREF1,MLBS-20181029-BREF1-A,B00000026352,MLBS-20181029-BREF1-B,B00000026351,MLBS-20181029-BREF1-C,B00000026350,,,20211221T203415Z,RELEASE-2022
e41a3966-0180-4d81-a474-aa5f1abb995c,MLBS,2018-10-30,2018-10-30,MLBS-20181030-BREF3,MLBS-20181030-BREF3-A,B00000026482,MLBS-20181030-BREF3-B,B00000026481,MLBS-20181030-BREF3-C,B00000026477,,,20211221T203415Z,RELEASE-2022
b9181103-7cc1-410e-bedb-c911ceb2080f,MLBS,2018-10-30,2018-10-30,MLBS-20181030-BREF2,MLBS-20181030-BREF2-A,B00000026478,MLBS-20181030-BREF2-B,B00000026479,MLBS-20181030-BREF2-C,B00000026480,,,20211221T203415Z,RELEASE-2022
134a013f-380b-42ff-8ae8-87bae04b16f9,MLBS,2018-10-30,2018-10-30,MLBS-20181030-BREF1,MLBS-20181030-BREF1-A,B00000026474,MLBS-20181030-BREF1-B,B00000026475,MLBS-20181030-BREF1-C,B00000026476,,,20211221T203415Z,RELEASE-2022
814ccaf2-b78b-44a5-8d1a-c38092ed4030,ORNL,2017-04-05,2017-04-05,ORNL-20170405-BREF1,ORNL-20170405-BREF1-A,,ORNL-20170405-BREF1-B,,ORNL-20170405-BREF1-C,,,,20211221T232101Z,RELEASE-2022
83dc2022-6e7b-439a-a5c5-311d9072367a,ORNL,2017-04-28,2017-04-28,ORNL-20170428-BREF1,ORNL-20170428-BREF1-A,,ORNL-20170428-BREF1-B,,ORNL-20170428-BREF1-C,,,,20211221T232101Z,RELEASE-2022
dcf19945-df93-42b4-b635-2f6f9b5be650,ORNL,2017-06-20,2017-06-20,ORNL-20170620-BREF1,ORNL-20170620-BREF1-A,,ORNL-20170620-BREF1-B,,ORNL-20170620-BREF1-C,,,,20211222T020005Z,RELEASE-2022
d8154aa4-7691-4d27-8b5e-83a49be1e4e9,ORNL,2017-06-22,2017-06-22,ORNL-20170622-BREF1,ORNL-20170622-BREF1-A,,ORNL-20170622-BREF1-B,,ORNL-20170622-BREF1-C,,,,20211222T020005Z,RELEASE-2022
aa1d5951-f599-407e-ad8a-a131a1c46e25,ORNL,2017-07-07,2017-07-07,ORNL-20170707-BREF1,ORNL-20170707-BREF1-A,,ORNL-20170707-BREF1-B,,ORNL-20170707-BREF1-C,,,,20211221T233515Z,RELEASE-2022
16f7cda2-d6a2-4bcf-86f5-110301dcfcad,ORNL,2017-10-24,2017-10-24,ORNL-20171024-BREF1,ORNL-20171024-BREF1-A,,ORNL-20171024-BREF1-B,,ORNL-20171024-BREF1-C,,,,20211221T205356Z,RELEASE-2022
05886f1a-7cf7-4ec4-ab6a-973cb12b6e8e,ORNL,2017-10-25,2017-10-25,ORNL-20171025-BREF1,ORNL-20171025-BREF1-A,,ORNL-20171025-BREF1-B,,ORNL-20171025-BREF1-C,,,,20211221T205356Z,RELEASE-2022
